"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"TAMUNI";"ENTREV";"TIPO_TEL";"SEXO";"EDAD";"P0";"P1";"P2_1";"P2_2";"P2_3";"P2_4";"P2_5";"P2_6";"P2_7";"P3ES_1";"P3ES_2";"P3ES_3";"P3ES_4";"P3ES_5";"P3ES_6";"P4ES_1";"P4ES_2";"P4ES_3";"P4ES_4";"P4ES_5";"P4ES_6";"P5_1";"P5_2";"P5_3";"P5_4";"P5_5";"P5_6";"P6_1";"P6_2";"P6_3";"P6_4";"P7ES_1";"P7ES_2";"P7ES_3";"P7ES_4";"P8ES_1";"P8ES_2";"P8ES_3";"P8ES_4";"P9_1";"P9_2";"P9_3";"P9_4";"P9_5";"P10_1";"P10_2";"P10_3";"P10_4";"P11_1";"P11_2";"P11_3";"P11_4";"P12";"P13";"P14";"P15";"P16";"ESCIDEOL";"PARTICIPACIONG";"RECUVOTOG";"RECUVOTOGR";"RECUERDO";"SITLAB";"RELALAB";"CNO11";"CNO11R";"ECIVIL";"ESCUELA";"NIVELESTENTREV";"ESTUDIOS";"RELIGION";"PRACTICARELIG6";"INGRESHOG";"CLASESOCIAL";"CLASESUB";"SINCERIDAD";"PESO";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4"
3406;18246;853;1;18;0;3;2;0;1;1;58;1;2;3;2;2;2;1;3;2;4;1;3;3;1;3;4;5;5;5;4;4;1;1;2;2;2;1;2;2;4;4;5;4;5;4;3;4;2;5;2;1;2;3;3;5;3;2;3;5;3;2;3;2;4;2;2;2;5;1;5;5;5;1;1;10;10;1;3;10;6;2;3;1;3;2;1;1,24392;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;0;3;0;"";"";8;5;23;1;17;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18247;854;11;6;0;3;2;0;1;2;74;1;3;5;5;5;8;3;5;5;5;5;5;3;1;5;5;5;5;8;8;5;5;2;4;5;4;5;4;4;5;5;1;5;5;8;1;1;1;1;8;2;2;8;5;5;4;8;8;5;4;8;8;8;2;2;2;8;8;1;2;2;2;7;0;0;14;1;3;6;4;1;6;5;98;8;2;0,92294;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;22;1;0;0;0;25;0;"";"";8;5;23;1;19;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18270;855;6;39;0;3;3;0;2;1;71;1;1;3;2;2;1;2;3;1;1;3;1;5;1;1;1;3;5;5;4;2;2;1;1;1;3;5;1;1;4;5;5;3;1;2;1;1;1;1;5;1;1;5;5;3;5;5;5;3;1;1;1;5;1;2;2;1;99;1;9999;9999;9999;8;0;0;15;1;3;6;4;2;2;6;98;8;1;0,89594;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;"";"";8;5;23;1;29;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18285;856;3;33;0;3;3;0;2;2;74;1;8;8;8;8;4;4;9;8;5;5;8;8;8;5;3;5;5;2;5;2;1;1;1;1;1;1;3;5;8;8;5;5;5;5;8;8;8;9;4;1;1;4;1;5;5;4;5;5;5;4;5;1;2;2;2;2;99;2;0;0;9997;2;0;0;12;1;3;4;3;2;1;9;98;8;1;0,89647;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;1;0;0;0;18;0;"";"";8;5;23;1;25;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18287;857;16;48;20;2;5;0;2;2;49;1;3;5;5;5;5;4;4;4;4;5;2;2;2;4;4;4;3;3;5;4;5;4;4;2;4;5;4;4;5;4;3;4;4;4;4;3;3;3;4;2;2;4;4;2;2;4;4;2;1;2;4;2;1;1;1;2;7;1;2;2;2;1;3;8;8;2;3;7;5;1;3;3;3;2;1;0,89141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;19;0;0;0;0;22;0;"";"";8;5;23;1;20;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18302;858;1;4;79;3;5;0;2;2;56;1;4;3;8;3;2;2;2;3;3;3;3;1;2;5;4;3;3;2;4;5;2;2;3;1;3;1;3;2;5;3;5;5;5;4;5;5;5;4;2;1;2;3;2;4;4;3;3;2;2;2;3;2;1;2;2;2;6;1;9999;9999;9999;1;3;2;2;5;3;6;4;4;0;5;12;5;1;1,02353;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";8;5;23;1;23;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18324;859;10;12;0;3;4;0;1;1;66;1;4;2;5;3;3;2;2;5;5;1;1;5;1;5;5;1;1;5;1;5;2;1;1;1;1;4;3;3;4;5;5;5;5;3;5;5;1;5;1;1;2;5;2;5;5;3;1;5;5;5;1;2;2;2;2;2;10;1;3;3;3;2;0;0;12;1;3;6;4;5;0;1;4;3;2;0,86481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;4;0;"";"";8;5;23;1;16;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18339;860;9;17;0;3;3;0;1;2;79;1;4;3;4;5;2;2;5;5;5;5;5;5;5;5;5;5;5;5;3;5;2;1;3;1;1;4;3;4;4;4;4;5;4;3;2;4;4;7;1;1;3;3;1;1;1;1;1;1;1;1;1;1;4;2;2;1;3;1;901;901;901;3;0;0;15;3;3;4;3;6;0;3;3;2;2;1,64526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;"";"";8;5;23;1;17;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18348;861;14;30;30;1;6;0;2;1;33;1;2;2;4;5;2;1;2;2;3;5;5;5;3;5;5;2;2;3;3;3;3;2;2;2;2;2;1;1;4;4;5;5;5;5;5;3;2;5;2;2;4;5;3;2;2;1;4;4;3;1;4;2;4;2;2;2;5;1;9999;9999;9999;1;1;2;2;2;3;10;6;6;0;5;3;2;2;0,7908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;"";"";8;5;23;1;13;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18401;862;8;9;0;3;2;0;2;2;51;1;4;4;2;4;2;2;5;5;5;5;5;5;3;5;3;3;3;1;5;3;3;2;2;9;2;4;3;4;5;9;1;4;4;4;3;2;3;7;4;3;9;9;4;9;4;2;9;4;4;2;4;9;1;2;2;2;99;1;9999;9999;9999;4;0;0;16;2;3;9;6;2;2;9;3;2;2;1,05177;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;8;0;"";"";8;5;23;1;16;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18417;863;3;33;44;1;5;0;2;1;24;1;2;2;2;3;3;2;4;1;5;4;2;2;4;5;5;3;3;2;4;5;2;1;2;1;1;1;3;2;4;3;5;5;5;4;3;4;2;2;2;1;1;4;2;2;3;2;1;1;4;4;4;4;2;2;2;2;5;1;3;3;3;1;1;5;5;2;3;6;4;2;1;3;3;2;1;1,05643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;4;0;"";"";8;5;23;1;19;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18424;864;10;3;14;2;5;0;1;2;69;1;1;2;1;3;1;2;1;3;5;5;5;4;4;5;5;5;5;4;4;5;1;2;2;2;1;2;1;2;3;1;4;5;4;4;5;4;4;4;2;2;3;3;3;4;2;2;3;1;2;2;3;2;2;2;2;2;3;1;1;1;1;1;1;1;1;1;3;13;6;6;0;1;2;1;1;0,81252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;12;0;"";"";8;5;23;1;23;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18438;865;14;30;0;3;3;0;2;2;48;1;4;3;3;5;3;3;3;4;3;1;2;4;3;3;4;4;4;3;4;4;4;4;1;1;1;4;4;4;4;3;3;5;5;3;3;3;2;3;2;2;1;2;2;4;1;1;4;4;4;1;1;1;1;2;2;2;7;1;2;2;2;1;1;4;4;1;3;7;5;2;3;3;4;3;1;0,92662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;9;0;"";"";8;5;23;1;18;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18461;866;12;15;78;1;4;0;2;2;38;1;3;4;3;2;5;2;1;2;4;4;4;4;1;5;5;3;4;4;1;5;4;1;1;2;1;2;3;1;5;3;5;5;4;5;4;3;2;4;2;2;2;2;3;4;4;2;3;2;2;1;3;1;1;1;1;1;4;1;1;1;1;1;1;5;5;2;3;4;3;2;4;3;3;2;1;0,89268;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;7;0;"";"";8;5;23;1;23;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18492;867;4;7;40;1;6;0;2;1;35;1;2;4;4;4;3;1;3;4;5;4;4;3;2;5;5;2;5;3;5;5;2;1;1;1;1;2;2;1;4;4;5;5;5;5;4;2;4;7;1;1;2;1;1;8;8;2;2;8;8;3;3;1;2;2;2;2;2;1;7;7;7;1;3;3;3;2;3;13;6;5;0;3;3;2;1;0,89621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;"";"";8;5;23;1;20;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18507;868;10;46;250;1;6;0;1;2;67;1;4;2;2;3;2;3;3;3;5;4;5;5;5;5;5;3;5;5;5;5;3;2;1;3;2;3;2;3;5;4;3;5;5;4;2;1;1;3;1;1;2;4;3;4;3;2;3;4;2;1;3;1;2;2;1;2;6;1;9998;9998;9998;7;0;0;14;1;3;4;3;2;1;5;3;2;2;0,80556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;6;0;"";"";8;5;23;1;21;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18535;869;7;13;0;3;3;0;1;2;67;1;4;3;5;5;5;3;3;4;1;2;1;1;1;5;5;5;5;1;1;5;1;1;1;1;4;4;4;4;4;4;5;5;5;5;1;1;1;5;1;1;1;1;1;8;5;5;5;4;4;4;4;4;1;2;2;2;99;2;0;0;9997;7;0;0;14;1;3;2;2;2;2;6;12;5;2;0,89787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;"";"";8;5;23;1;16;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18594;870;1;41;91;1;6;0;2;2;34;1;1;2;3;3;1;1;3;4;5;5;3;5;5;5;5;5;4;5;5;3;1;1;1;2;2;2;4;3;3;3;5;5;5;5;5;5;5;9;1;1;1;1;1;1;1;1;1;1;3;3;1;1;2;2;2;2;3;1;9999;9999;9999;1;1;2;2;2;3;10;6;9;0;5;3;2;2;1,04641;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;5;0;"";"";8;5;23;1;16;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18604;871;14;30;16;3;5;0;2;1;45;1;1;1;1;3;1;1;4;4;5;3;1;4;2;5;4;3;3;2;3;3;3;1;1;1;1;3;3;1;3;3;5;4;4;3;1;3;3;4;3;3;3;5;5;4;3;1;4;4;4;1;4;2;2;2;2;2;5;1;5;5;5;1;1;99;99;1;3;6;4;2;3;2;4;3;1;0,80976;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;1;0;0;11;0;"";"";8;5;23;1;18;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18625;872;10;12;0;3;2;0;1;2;52;1;1;1;2;4;2;1;2;4;5;4;3;5;3;5;4;3;4;5;3;5;1;2;4;2;2;2;3;4;5;4;4;4;5;3;3;4;2;3;4;2;2;4;4;2;4;2;4;2;4;2;4;2;2;2;2;2;8;1;9998;9998;9998;1;9;99;99;1;3;5;5;2;2;4;98;8;1;1,0143;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;"";"";8;5;23;1;22;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18655;873;9;17;0;3;3;0;2;1;34;1;2;2;2;2;2;2;2;2;5;5;5;3;4;5;5;4;4;4;4;4;1;1;1;1;1;2;3;1;3;3;3;5;2;4;5;3;4;3;1;1;3;3;2;1;1;1;1;1;1;1;1;1;2;2;2;1;99;2;0;0;9997;1;1;4;4;2;3;11;6;6;0;5;5;4;1;1,04197;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;7;0;"";"";8;5;23;1;20;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
3406;18665;874;14;30;30;1;6;0;1;1;58;1;1;1;2;3;1;1;2;5;5;1;1;5;1;5;4;1;1;4;1;3;1;2;1;1;2;3;3;3;5;3;5;5;5;4;3;2;2;5;1;1;1;2;3;3;3;2;1;1;3;2;1;1;4;2;2;8;3;1;1;1;1;1;1;1;1;1;3;6;4;6;0;4;3;2;1;0,81222;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;24;0;0;0;0;16;2;"";"";8;5;23;1;30;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
