"bloque","pregunta","escala","sexo","prop"
4,15,2,"hombres",0.0309278350515464
4,15,3,"hombres",0.247422680412371
4,15,4,"hombres",0.474226804123711
4,15,5,"hombres",0.237113402061856
4,15,1,"mujeres",0.0132450331125828
4,15,2,"mujeres",0.0496688741721854
4,15,3,"mujeres",0.258278145695364
4,15,4,"mujeres",0.470198675496689
4,15,5,"mujeres",0.208609271523179
4,16,1,"hombres",0.0103092783505155
4,16,2,"hombres",0.0206185567010309
4,16,3,"hombres",0.216494845360825
4,16,4,"hombres",0.587628865979381
4,16,5,"hombres",0.164948453608247
4,16,1,"mujeres",0.00993377483443709
4,16,2,"mujeres",0.0496688741721854
4,16,3,"mujeres",0.231788079470199
4,16,4,"mujeres",0.56953642384106
4,16,5,"mujeres",0.139072847682119
4,17,1,"hombres",0.0309278350515464
4,17,2,"hombres",0.0412371134020619
4,17,3,"hombres",0.237113402061856
4,17,4,"hombres",0.577319587628866
4,17,5,"hombres",0.11340206185567
4,17,1,"mujeres",0.0132450331125828
4,17,2,"mujeres",0.0496688741721854
4,17,3,"mujeres",0.235099337748344
4,17,4,"mujeres",0.536423841059603
4,17,5,"mujeres",0.165562913907285
4,18,1,"hombres",0.0309278350515464
4,18,2,"hombres",0.0618556701030928
4,18,3,"hombres",0.195876288659794
4,18,4,"hombres",0.56701030927835
4,18,5,"hombres",0.144329896907216
4,18,1,"mujeres",0.0132450331125828
4,18,2,"mujeres",0.0629139072847682
4,18,3,"mujeres",0.321192052980132
4,18,4,"mujeres",0.493377483443709
4,18,5,"mujeres",0.109271523178808
4,19,1,"hombres",0.0206185567010309
4,19,2,"hombres",0.0309278350515464
4,19,3,"hombres",0.257731958762887
4,19,4,"hombres",0.443298969072165
4,19,5,"hombres",0.247422680412371
4,19,1,"mujeres",0.0298013245033113
4,19,2,"mujeres",0.102649006622517
4,19,3,"mujeres",0.321192052980132
4,19,4,"mujeres",0.410596026490066
4,19,5,"mujeres",0.135761589403974
4,20,1,"hombres",0.0103092783505155
4,20,2,"hombres",0.0412371134020619
4,20,3,"hombres",0.0721649484536082
4,20,4,"hombres",0.422680412371134
4,20,5,"hombres",0.45360824742268
4,20,1,"mujeres",0.00662251655629139
4,20,2,"mujeres",0.0397350993377483
4,20,3,"mujeres",0.185430463576159
4,20,4,"mujeres",0.403973509933775
4,20,5,"mujeres",0.364238410596026
5,21,1,"hombres",0.0206185567010309
5,21,2,"hombres",0.0206185567010309
5,21,3,"hombres",0.185567010309278
5,21,4,"hombres",0.639175257731959
5,21,5,"hombres",0.134020618556701
5,21,1,"mujeres",0.00662251655629139
5,21,2,"mujeres",0.0629139072847682
5,21,3,"mujeres",0.274834437086093
5,21,4,"mujeres",0.480132450331126
5,21,5,"mujeres",0.175496688741722
5,22,1,"hombres",0.0309278350515464
5,22,2,"hombres",0.0824742268041237
5,22,3,"hombres",0.288659793814433
5,22,4,"hombres",0.443298969072165
5,22,5,"hombres",0.154639175257732
5,22,1,"mujeres",0.033112582781457
5,22,2,"mujeres",0.129139072847682
5,22,3,"mujeres",0.387417218543046
5,22,4,"mujeres",0.324503311258278
5,22,5,"mujeres",0.125827814569536
